"Name","DeviceType","SystemVersion","GpuType","MemoryLimit","HalfResScreen","DisableShadow","HalfResTex","QuarterResTex","HalfResUi","CullValleyBg","OffsetLODs","ReduceAnimations","LowQualityParticleSimulation","ReduceWorkerUiAnims","DisableMovie","Probability"
"String","String","String","String","int","String","String","String","String","String","String","String","String","String","String","String","int"
"BadPixelFillrate",,,"Adreno (TM) 504",,"On",,,,,,,,,,,
"BadVertexProcessing","SM-G900F",,,,,,,,,"On",,,,,,
,"CHP1723",,,,,,,,,,,,,,,
,"Flare S8 Lite",,,,,,,,,,,,,,,
,"SM-M205F",,,,,,,,,,,,,,,
,"LG-H812",,,,,,,,,,,,,,,
,"Nokia 3.1",,,,,,,,,,,,,,,
,"SM-G920L",,,,,,,,,,,,,,,
,"SM-J710F",,,,,,,,,,,,,,,
,"ASUS_Z01BDA",,,,,,,,,,,,,,,
,"G3125",,,,,,,,,,,,,,,
,"NX569J",,,,,,,,,,,,,,,
,"SM-T710",,,,,,,,,,,,,,,
,"Mediatek MT8173 Chromebook",,,,,,,,,,,,,,,
,"OPPO A79k",,,,,,,,,,,,,,,
,"LG-M400",,,,,,,,,,,,,,,
,"BV6900",,,,,,,,,,,,,,,
,"SM-J737U",,,,,,,,,,,,,,,
,"SM-N910W8",,,,,,,,,,,,,,,
,"Max 4 Pro",,,,,,,,,,,,,,,
,"LG-M250",,,,,,,,,,,,,,,
,"SM-A600F",,,,,,,,,,,,,,,
,"BND-L34",,,,,,,,,,,,,,,
,"F3113",,,,,,,,,,,,,,,
,"Lenovo TB-X306F",,,,,,,,,,,,,,,
,"HUAWEI VNS-L31",,,,,,,,,,,,,,,
,"LG-H960",,,,,,,,,,,,,,,
,"GOME 2016G68A",,,,,,,,,,,,,,,
,"JAT-AL00",,,,,,,,,,,,,,,
,"SM-A310F",,,,,,,,,,,,,,,
,"Lenovo K53a48",,,,,,,,,,,,,,,
,"moto e6s",,,,,,,,,,,,,,,
,"SM-N915G",,,,,,,,,,,,,,,
,"SM-G906S",,,,,,,,,,,,,,,
,"SM-T810",,,,,,,,,,,,,,,
,"FIG-LA1",,,,,,,,,,,,,,,
,"V1732A",,,,,,,,,,,,,,,
,"TRT-L21A",,,,,,,,,,,,,,,
,"SM-J530Y",,,,,,,,,,,,,,,
,"SM-G906L",,,,,,,,,,,,,,,
,"CPH2179",,,,,,,,,,,,,,,
,"Moto G (5)",,,,,,,,,,,,,,,
,"SM-T805",,,,,,,,,,,,,,,
,"Infinix X680F",,,,,,,,,,,,,,,
,"M2006C3LG",,,,,,,,,,,,,,,
,"V2026",,,,,,,,,,,,,,,
,"SM-T805Y",,,,,,,,,,,,,,,
,"A0001",,,,,,,,,,,,,,,
,"SM-A125F",,,,,,,,,,,,,,,
,"LG-V533",,,,,,,,,,,,,,,
,"Lenovo TB-8505FS",,,,,,,,,,,,,,,
,"M2006C3MG",,,,,,,,,,,,,,,
,"WAS-L03T",,,,,,,,,,,,,,,
,"LM-X540",,,,,,,,,,,,,,,
,"P109",,,,,,,,,,,,,,,
,"LM-X220PM",,,,,,,,,,,,,,,
,"HUAWEI NMO-L31",,,,,,,,,,,,,,,
,"SM-J730F",,,,,,,,,,,,,,,
,"CPH1715",,,,,,,,,,,,,,,
,"SM-J730K",,,,,,,,,,,,,,,
,"G3112",,,,,,,,,,,,,,,
,"HUAWEI RIO-L01",,,,,,,,,,,,,,,
,"XT1254",,,,,,,,,,,,,,,
,"TECNO LC8",,,,,,,,,,,,,,,
,"VFD 710",,,,,,,,,,,,,,,
,"Lenovo Z90a40",,,,,,,,,,,,,,,
,"SM-J600F",,,,,,,,,,,,,,,
,"d-01J",,,,,,,,,,,,,,,
,"itel L6003P",,,,,,,,,,,,,,,
,"Infinix X680",,,,,,,,,,,,,,,
,"Infinix X656",,,,,,,,,,,,,,,
,"SM-T385L",,,,,,,,,,,,,,,
,"KFKAWI",,,,,,,,,,,,,,,
,"SM-J727T1",,,,,,,,,,,,,,,
,"K83CA",,,,,,,,,,,,,,,
,"MRD-LX1",,,,,,,,,,,,,,,
,"LG-M470",,,,,,,,,,,,,,,
,"Nokia 3.1 Plus",,,,,,,,,,,,,,,
,"JAT-L29",,,,,,,,,,,,,,,
,"5130I",,,,,,,,,,,,,,,
,"SM-G903W",,,,,,,,,,,,,,,
,"V2043",,,,,,,,,,,,,,,
,"Armor X7",,,,,,,,,,,,,,,
,"Yi-018",,,,,,,,,,,,,,,
,"P80X_EEA",,,,,,,,,,,,,,,
,"WV8R_N",,,,,,,,,,,,,,,
,"TECNO BB4k",,,,,,,,,,,,,,,
,"Flare X2",,,,,,,,,,,,,,,
,"PRA-LA1",,,,,,,,,,,,,,,
,"iPlay_20",,,,,,,,,,,,,,,
,"BTV-W09",,,,,,,,,,,,,,,
,"SM-J737T1",,,,,,,,,,,,,,,
,"LG-TP450",,,,,,,,,,,,,,,
,"Redmi 6",,,,,,,,,,,,,,,
,"SM-G610F",,,,,,,,,,,,,,,
,"Thor E",,,,,,,,,,,,,,,
,"LM-X420N",,,,,,,,,,,,,,,
,"AMN-LX2",,,,,,,,,,,,,,,
,"SC-04J",,,,,,,,,,,,,,,
,"SM-T385",,,,,,,,,,,,,,,
,"FLA-LX1",,,,,,,,,,,,,,,
,"Flare_S8_Pro",,,,,,,,,,,,,,,
,"TECNO KE6j",,,,,,,,,,,,,,,
,"Moto X Play",,,,,,,,,,,,,,,
,"TECNO KE5k",,,,,,,,,,,,,,,
,"SM-J415FN",,,,,,,,,,,,,,,
,"AMN-LX9",,,,,,,,,,,,,,,
,"MYA-L23",,,,,,,,,,,,,,,
,"C15 Pro",,,,,,,,,,,,,,,
,"Flare Y20",,,,,,,,,,,,,,,
,"LG-V522",,,,,,,,,,,,,,,
,"SM-A600G",,,,,,,,,,,,,,,
,"A890",,,,,,,,,,,,,,,
,"A1601",,,,,,,,,,,,,,,
,"Infinix X660C",,,,,,,,,,,,,,,
,"Neffos C9 Max",,,,,,,,,,,,,,,
,"ONE A2003",,,,,,,,,,,,,,,
,"SM-A310N0",,,,,,,,,,,,,,,
,"P00C",,,,,,,,,,,,,,,
,"SE2",,,,,,,,,,,,,,,
,"H4331",,,,,,,,,,,,,,,
,"Infinix X657C",,,,,,,,,,,,,,,
,"LM-Q610(FGN)",,,,,,,,,,,,,,,
,"LND-L29",,,,,,,,,,,,,,,
,"LG-K430",,,,,,,,,,,,,,,
,"PRA-LX3",,,,,,,,,,,,,,,
,"LGM-X320L",,,,,,,,,,,,,,,
,"SM-G930L",,,,,,,,,,,,,,,
,"SAMSUNG-SM-G925A",,,,,,,,,,,,,,,
,"ASUS_Z012DA",,,,,,,,,,,,,,,
,"TA-1033",,,,,,,,,,,,,,,
,"SM-J701F",,,,,,,,,,,,,,,
,"P80X_ROW",,,,,,,,,,,,,,,
,"Blade A7S 2020-T",,,,,,,,,,,,,,,
,"vivo Y81S",,,,,,,,,,,,,,,
,"Infinix X653C",,,,,,,,,,,,,,,
,"Infinix NOTE 3 Pro",,,,,,,,,,,,,,,
,"MRD-LX1F",,,,,,,,,,,,,,,
,"TECNO LC7",,,,,,,,,,,,,,,
,"SM-G532G",,,,,,,,,,,,,,,
,"M10 Pro",,,,,,,,,,,,,,,
,"myXI1 Pro",,,,,,,,,,,,,,,
,"E1041X",,,,,,,,,,,,,,,
,"K87CA",,,,,,,,,,,,,,,
,"SM-J700T",,,,,,,,,,,,,,,
,"SM-G532F",,,,,,,,,,,,,,,
,"SM-J700H",,,,,,,,,,,,,,,
,"TECNO KE5",,,,,,,,,,,,,,,
,"ASUS_Z00UD",,,,,,,,,,,,,,,
,"vivo 1601",,,,,,,,,,,,,,,
,"MYA-L22",,,,,,,,,,,,,,,
,"G5",,,,,,,,,,,,,,,
,"P10_HD_EEA",,,,,,,,,,,,,,,
,"Le X625",,,,,,,,,,,,,,,
,"Lenovo PB2-650M",,,,,,,,,,,,,,,
,"AURII Passion",,,,,,,,,,,,,,,
,"Flare_5",,,,,,,,,,,,,,,
,"itel W6004P",,,,,,,,,,,,,,,
,"D6503",,,,,,,,,,,,,,,
,"P027",,,,,,,,,,,,,,,
,"XT1097",,,,,,,,,,,,,,,
,"Redmi 3S",,,,,,,,,,,,,,,
,"P028",,,,,,,,,,,,,,,
,"vivo Y55A",,,,,,,,,,,,,,,
,"SM-T585",,,,,,,,,,,,,,,
,"LM-X525",,,,,,,,,,,,,,,
,"SM-T580",,,,,,,,,,,,,,,
,"Lenovo TB-8505X",,,,,,,,,,,,,,,
,"5001T",,,,,,,,,,,,,,,
,"SM-T387W",,,,,,,,,,,,,,,
,"vivo 1609",,,,,,,,,,,,,,,
,"LM-X520",,,,,,,,,,,,,,,
,"KSA-LX9",,,,,,,,,,,,,,,
,"HTC Desire 650 dual sim",,,,,,,,,,,,,,,
,"LGMP450",,,,,,,,,,,,,,,
,"CPH1609",,,,,,,,,,,,,,,
,"WP5",,,,,,,,,,,,,,,
,"MYA-L02",,,,,,,,,,,,,,,
,"Power",,,,,,,,,,,,,,,
,"M10900",,,,,,,,,,,,,,,
,"LM-Q630",,,,,,,,,,,,,,,
,"5002S",,,,,,,,,,,,,,,
,"SM-J700F",,,,,,,,,,,,,,,
,"MI PLAY",,,,,,,,,,,,,,,
,"PLAY Click LTE",,,,,,,,,,,,,,,
,"SM-P585Y",,,,,,,,,,,,,,,
,"Maximus M10 LTE",,,,,,,,,,,,,,,
,"T701_X",,,,,,,,,,,,,,,
,"Flare J5 Mini",,,,,,,,,,,,,,,
,"myA15",,,,,,,,,,,,,,,
,"vivo V5",,,,,,,,,,,,,,,
,"Flare_S8_Deluxe",,,,,,,,,,,,,,,
,"ASUS_X00KD",,,,,,,,,,,,,,,
,"Blade A3 2019-T",,,,,,,,,,,,,,,
,"SM-J260A",,,,,,,,,,,,,,,
,"vivo Y83",,,,,,,,,,,,,,,
,"SM-G610L",,,,,,,,,,,,,,,
,"MID8072",,,,,,,,,,,,,,,
,"E5553",,,,,,,,,,,,,,,
,"vivo Y67",,,,,,,,,,,,,,,
,"RNE-L21",,,,,,,,,,,,,,,
,"Infinix X572",,,,,,,,,,,,,,,
,"SM-T815Y",,,,,,,,,,,,,,,
,"SM-N916S",,,,,,,,,,,,,,,
,"SM-A107M",,,,,,,,,,,,,,,
,"VS986",,,,,,,,,,,,,,,
,"MID_1089IPSA100",,,,,,,,,,,,,,,
,"Blade A5 2019-T",,,,,,,,,,,,,,,
,"SM-T380",,,,,,,,,,,,,,,
,"SM-J730GM",,,,,,,,,,,,,,,
,"LEX651",,,,,,,,,,,,,,,
,"HUAWEI VNS-L21",,,,,,,,,,,,,,,
,"Superion_S2_Plus",,,,,,,,,,,,,,,
,"my29S",,,,,,,,,,,,,,,
,"RCT6613W23P",,,,,,,,,,,,,,,
,"RCT6B06P23",,,,,,,,,,,,,,,
,"LG-M703",,,,,,,,,,,,,,,
,"G3312",,,,,,,,,,,,,,,
,"Lenovo L19111",,,,,,,,,,,,,,,
,"Flare Y3 mini",,,,,,,,,,,,,,,
,"LM-K300",,,,,,,,,,,,,,,
,"K56",,,,,,,,,,,,,,,
,"BAC-L21",,,,,,,,,,,,,,,
,"myXI1 Plus",,,,,,,,,,,,,,,
,"Moto E (4) Plus",,,,,,,,,,,,,,,
,"myWX1 Plus",,,,,,,,,,,,,,,
,"LM-X320",,,,,,,,,,,,,,,
,"LG-M700",,,,,,,,,,,,,,,
,"itel W5005P",,,,,,,,,,,,,,,
,"FS8001",,,,,,,,,,,,,,,
,"T7045PS",,,,,,,,,,,,,,,
,"SM-G390Y",,,,,,,,,,,,,,,
,"SM-A320F",,,,,,,,,,,,,,,
,"myT8",,,,,,,,,,,,,,,
,"Lenovo TB-X304L",,,,,,,,,,,,,,,
,"myP1",,,,,,,,,,,,,,,
,"Z12 PRO",,,,,,,,,,,,,,,
,"MYA-L41",,,,,,,,,,,,,,,
,"OPPO R11s",,,,,,,,,,,,,,,
,"Lenovo L38041",,,,,,,,,,,,,,,
,"CPH2185",,,,,,,,,,,,,,,
,"SM-T387AA",,,,,,,,,,,,,,,
,"Nokia 2.1",,,,,,,,,,,,,,,
,"SM-J610F",,,,,,,,,,,,,,,
,"itel L6501",,,,,,,,,,,,,,,
,"SM-J415GN",,,,,,,,,,,,,,,
,"SM-G610Y",,,,,,,,,,,,,,,
,"RCT6973MDN",,,,,,,,,,,,,,,
,"K35",,,,,,,,,,,,,,,
,"moto e5 play",,,,,,,,,,,,,,,
,"E0111",,,,,,,,,,,,,,,
,"vivo 1606",,,,,,,,,,,,,,,
,"HT80",,,,,,,,,,,,,,,
,"AGS-W09",,,,,,,,,,,,,,,
,"LM-X120",,,,,,,,,,,,,,,
,"S30",,,,,,,,,,,,,,,
,"Excite Prime 2",,,,,,,,,,,,,,,
,"Flare S6",,,,,,,,,,,,,,,
,"itel W5008",,,,,,,,,,,,,,,
,"SM-G870W",,,,,,,,,,,,,,,
,"Thrill Access",,,,,,,,,,,,,,,
,"Flare J3s",,,,,,,,,,,,,,,
,"Blade A3 2020-T",,,,,,,,,,,,,,,
,"SM-J330G",,,,,,,,,,,,,,,
,"SM-G900K",,,,,,,,,,,,,,,
,"Flare J3 mini",,,,,,,,,,,,,,,
,"SM-J327T1",,,,,,,,,,,,,,,
,"Flare_S7_Mini",,,,,,,,,,,,,,,
,"itel W6501",,,,,,,,,,,,,,,
,"A80",,,,,,,,,,,,,,,
,"A80 K1",,,,,,,,,,,,,,,
,"Moto G Play",,,,,,,,,,,,,,,
,"Kata-M4",,,,,,,,,,,,,,,
,"SM-J737A",,,,,,,,,,,,,,,
,"itel W6001",,,,,,,,,,,,,,,
,"A7S",,,,,,,,,,,,,,,
,"Lenovo TB-7305X",,,,,,,,,,,,,,,
,"IN2010",,,,,,,,,,,,,,,
,"1713-A01",,,,,,,,,,,,,,,
,"FRD-L04",,,,,,,,,,,,,,,
,"SM-G610M",,,,,,,,,,,,,,,
,"Aqua S9",,,,,,,,,,,,,,,
,"Infinix X657B",,,,,,,,,,,,,,,
,"itel W6002E",,,,,,,,,,,,,,,
,"C6L",,,,,,,,,,,,,,,
,"RCT6513W87DK5e",,,,,,,,,,,,,,,
,"Lenovo TB3-730X",,,,,,,,,,,,,,,
,"SM-J400G",,,,,,,,,,,,,,,
,"brown 1",,,,,,,,,,,,,,,
,"WV7P",,,,,,,,,,,,,,,
,"SM-A510Y",,,,,,,,,,,,,,,
,"SmartN11",,,,,,,,,,,,,,,
,"SM-J250G",,,,,,,,,,,,,,,
,"5041C",,,,,,,,,,,,,,,
,"RCT6A03W13E",,,,,,,,,,,,,,,
,"SM-G900I",,,,,,,,,,,,,,,
,"ZTE BLADE A910",,,,,,,,,,,,,,,
,"Moto E (4)",,,,,,,,,,,,,,,
,"vivo 1724",,,,,,,,,,,,,,,
,"SM-G900T",,,,,,,,,,,,,,,
,"LAVA_R1",,,,,,,,,,,,,,,
,"B3-A50FHD",,,,,,,,,,,,,,,
,"Alcatel 9026S",,,,,,,,,,,,,,,
,"LG-D852",,,,,,,,,,,,,,,
,"Alcatel_5059R",,,,,,,,,,,,,,,
,"SM-J327W",,,,,,,,,,,,,,,
,"SM-T377W",,,,,,,,,,,,,,,
,"TA-1032",,,,,,,,,,,,,,,
,"SM-G900W8",,,,,,,,,,,,,,,
,"SM-J320F",,,,,,,,,,,,,,,
,"Flash",,,,,,,,,,,,,,,
,"Alcatel_5044R",,,,,,,,,,,,,,,
,"SM-G903F",,,,,,,,,,,,,,,
,"Flare J6 Plus",,,,,,,,,,,,,,,
,"SM-J7108",,,,,,,,,,,,,,,
,"A1911",,,,,,,,,,,,,,,
,"itel W6004",,,,,,,,,,,,,,,
,"Lenovo A7000-a",,,,,,,,,,,,,,,
,"Z855",,,,,,,,,,,,,,,
,"OpelMobile_SmartX1",,,,,,,,,,,,,,,
,"SM-J120W",,,,,,,,,,,,,,,
,"Lenovo TB3-X70F",,,,,,,,,,,,,,,
,"LG-H915",,,,,,,,,,,,,,,
,"Neffos X1 Lite",,,,,,,,,,,,,,,
,"G9",,,,,,,,,,,,,,,
,"Lenovo A7020a48",,,,,,,,,,,,,,,
,"MI 3W",,,,,,,,,,,,,,,
,"LM-K410",,,,,,,,,,,,,,,
,"X95",,,,,,,,,,,,,,,
,"vivo 1610",,,,,,,,,,,,,,,
,"SM-A510F",,,,,,,,,,,,,,,
,"RCT6A03W13M",,,,,,,,,,,,,,,
,"B1-7A0",,,,,,,,,,,,,,,
,"SM-J400F",,,,,,,,,,,,,,,
,"Redmi 5A",,,,,,,,,,,,,,,
,"SM-T550",,,,,,,,,,,,,,,
,"Nokia 1",,,,,,,,,,,,,,,
,"itel W5001P",,,,,,,,,,,,,,,
,"Lenovo TB-8504F",,,,,,,,,,,,,,,
,"ASUS_X00LDA",,,,,,,,,,,,,,,
,"SM-P550",,,,,,,,,,,,,,,
,"Flare J7",,,,,,,,,,,,,,,
,"ASUS_X00RD",,,,,,,,,,,,,,,
,"Z5031O",,,,,,,,,,,,,,,
,"SM-J415F",,,,,,,,,,,,,,,
,"SM-J320W8",,,,,,,,,,,,,,,
,"LG-M320G",,,,,,,,,,,,,,,
,"SM-J337W",,,,,,,,,,,,,,,
,"LM-X410.FGN",,,,,,,,,,,,,,,
,"SM-S327VL",,,,,,,,,,,,,,,
,"Redmi 4A",,,,,,,,,,,,,,,
,"SM-A013M",,,,,,,,,,,,,,,
,"vivo 1801",,,,,,,,,,,,,,,
,"LM-X510WM",,,,,,,,,,,,,,,
,"SM-J250F",,,,,,,,,,,,,,,
,"RCT6973W43MD",,,,,,,,,,,,,,,
,"VFD 529",,,,,,,,,,,,,,,
,"SM-G390W",,,,,,,,,,,,,,,
,"Lenovo TB-X104F",,,,,,,,,,,,,,,
,"SM-P355",,,,,,,,,,,,,,,
,"Selfie_Two",,,,,,,,,,,,,,,
,"SM-J510GN",,,,,,,,,,,,,,,
,"SM-G900F",,,,,,,,,,,,,,,
,"Flare S5 Plus",,,,,,,,,,,,,,,
,"SM-J510FN",,,,,,,,,,,,,,,
,"RCT6223W97",,,,,,,,,,,,,,,
,"SM-G600S",,,,,,,,,,,,,,,
,"Lenovo TB3-X70L",,,,,,,,,,,,,,,
,"Nexus 5",,,,,,,,,,,,,,,
,"5052A",,,,,,,,,,,,,,,
,"5033T",,,,,,,,,,,,,,,
,"Nokia C1",,,,,,,,,,,,,,,
,"myA17",,,,,,,,,,,,,,,
,"SM-T560NU",,,,,,,,,,,,,,,
,"myG1",,,,,,,,,,,,,,,
,"SM-A013G",,,,,,,,,,,,,,,
,"M5c",,,,,,,,,,,,,,,
,"SM-T350",,,,,,,,,,,,,,,
,"Nexus 7",,,,,,,,,,,,,,,
,"U2",,,,,,,,,,,,,,,
,"Z557BL",,,,,,,,,,,,,,,
,"AGS-L09",,,,,,,,,,,,,,,
,"SM-T355Y",,,,,,,,,,,,,,,
,"LM-X210",,,,,,,,,,,,,,,
,"5044G",,,,,,,,,,,,,,,
,"SM-J260Y",,,,,,,,,,,,,,,
,"SM-G570Y",,,,,,,,,,,,,,,
,"9024O",,,,,,,,,,,,,,,
,"DRA-L01",,,,,,,,,,,,,,,
,"LG-M150",,,,,,,,,,,,,,,
,"SM-T377P",,,,,,,,,,,,,,,
,"5008T",,,,,,,,,,,,,,,
,"LM-X210(G)",,,,,,,,,,,,,,,
,"SM-G570F",,,,,,,,,,,,,,,
,"MYPAD10",,,,,,,,,,,,,,,
,"SM-J510F",,,,,,,,,,,,,,,
,"A3-A40",,,,,,,,,,,,,,,
,"ZTE BLADE A521",,,,,,,,,,,,,,,
,"Lenovo TB-8304F1",,,,,,,,,,,,,,,
,"DRA-LX2",,,,,,,,,,,,,,,
,"SM-A500W",,,,,,,,,,,,,,,
,"C21",,,,,,,,,,,,,,,
,"Flare_S7",,,,,,,,,,,,,,,
,"SM-J410F",,,,,,,,,,,,,,,
