"Name","DeviceType","SystemVersion","GpuType","MemoryLimit","HalfResScreen","DisableShadow","HalfResTex","QuarterResTex","HalfResUi","CullValleyBg","OffsetLODs","ReduceAnimations","LowQualityParticleSimulation","ReduceWorkerUiAnims","DisableMovie","Probability"
"String","String","String","String","int","String","String","String","String","String","String","String","String","String","String","String","int"
"BadPixelFillrate",,,"Adreno (TM) 504",,"On",,,,,,,,,,,
"BadVertexProcessing","SM-G900F",,,,,,,,,"On",,,,,,
,"moto g(8) power lite",,,,,,,,,,,,,,,
,"SM-T510",,,,,,,,,,,,,,,
,"SM-A307FN",,,,,,,,,,,,,,,
,"vivo 1902",,,,,,,,,,,,,,,
,"RMX2185",,,,,,,,,,,,,,,
,"RMX2189",,,,,,,,,,,,,,,
,"vivo 1723",,,,,,,,,,,,,,,
,"Lenovo TB-X505F",,,,,,,,,,,,,,,
,"SM-T290",,,,,,,,,,,,,,,
,"SM-T295",,,,,,,,,,,,,,,
,"CPH1923",,,,,,,,,,,,,,,
,"VFD 822",,,,,,,,,,,,,,,
,"F3212",,,,,,,,,,,,,,,
,"Infinix X650C",,,,,,,,,,,,,,,
,"Lenovo TB-X606F",,,,,,,,,,,,,,,
,"A80Pro",,,,,,,,,,,,,,,
,"Infinix X680B",,,,,,,,,,,,,,,
,"Flare Tab Pro",,,,,,,,,,,,,,,
,"BAH-W09",,,,,,,,,,,,,,,
,"WAS-LX2",,,,,,,,,,,,,,,
,"vivo 2010",,,,,,,,,,,,,,,
,"Lenovo TB-8505F",,,,,,,,,,,,,,,
,"Redmi 8A",,,,,,,,,,,,,,,
,"Infinix X652A",,,,,,,,,,,,,,,
,"MAR-LX2",,,,,,,,,,,,,,,
,"SM-A202F",,,,,,,,,,,,,,,
,"SC-02M",,,,,,,,,,,,,,,
,"SM-A205GN",,,,,,,,,,,,,,,
,"CPH1803",,,,,,,,,,,,,,,
,"SM-A720F",,,,,,,,,,,,,,,
,"MI MAX 2",,,,,,,,,,,,,,,
,"AUM-L29",,,,,,,,,,,,,,,
,"Redmi Note 4",,,,,,,,,,,,,,,
,"VIE-L29",,,,,,,,,,,,,,,
,"Neffos_Y7",,,,,,,,,,,,,,,
,"Redmi 5 Plus",,,,,,,,,,,,,,,
,"SM-C710F",,,,,,,,,,,,,,,
,"Lenovo TB-X705F",,,,,,,,,,,,,,,
,"SUGAR S11",,,,,,,,,,,,,,,
,"SM-A9000",,,,,,,,,,,,,,,
,"V1818CA",,,,,,,,,,,,,,,
,"SM-A202K",,,,,,,,,,,,,,,
,"Lenovo L19041",,,,,,,,,,,,,,,
,"STK-LX1",,,,,,,,,,,,,,,
,"SM-A405FN",,,,,,,,,,,,,,,
,"LG-H990",,,,,,,,,,,,,,,
,"SM-A307GN",,,,,,,,,,,,,,,
,"SM-A305YN",,,,,,,,,,,,,,,
,"SNE-LX1",,,,,,,,,,,,,,,
,"SM-A205U",,,,,,,,,,,,,,,
,"SM-A305GN",,,,,,,,,,,,,,,
,"CPH1821",,,,,,,,,,,,,,,
,"Flare S8",,,,,,,,,,,,,,,
,"SM-G920W8",,,,,,,,,,,,,,,
,"SM-N9208",,,,,,,,,,,,,,,
,"LDN-LX2",,,,,,,,,,,,,,,
,"G3116",,,,,,,,,,,,,,,
,"SM-T719Y",,,,,,,,,,,,,,,
,"SM-G925F",,,,,,,,,,,,,,,
,"Redmi Note 8T",,,,,,,,,,,,,,,
,"ASUS_Z012D",,,,,,,,,,,,,,,
,"moto g(7)",,,,,,,,,,,,,,,
,"vivo 1611",,,,,,,,,,,,,,,
,"Mi A1",,,,,,,,,,,,,,,
,"EVA-L09",,,,,,,,,,,,,,,
,"Nexus 6P",,,,,,,,,,,,,,,
,"Lenovo TB-X605F",,,,,,,,,,,,,,,
,"Redmi Note 5A",,,,,,,,,,,,,,,
,"LDN-L21",,,,,,,,,,,,,,,
,"Mi A2 Lite",,,,,,,,,,,,,,,
,"HUAWEI NXT-L29",,,,,,,,,,,,,,,
,"Lenovo L38011",,,,,,,,,,,,,,,
,"MAR-LX1M",,,,,,,,,,,,,,,
,"ASUS_X00PD",,,,,,,,,,,,,,,
,"SM-N920I",,,,,,,,,,,,,,,
,"SM-A3050",,,,,,,,,,,,,,,
,"SM-G8850",,,,,,,,,,,,,,,
,"HRY-LX2",,,,,,,,,,,,,,,
,"JSN-L22",,,,,,,,,,,,,,,
,"SM-G920F",,,,,,,,,,,,,,,
,"CPH1903",,,,,,,,,,,,,,,
,"CPH1851",,,,,,,,,,,,,,,
,"SM-G925I",,,,,,,,,,,,,,,
,"POT-LX2J",,,,,,,,,,,,,,,
